X,Y,Z
-11.442045063092964,-14.572767490779638,-30.938809575795478
-11.48769504361785,-14.583405071605775,-30.961393761519652
-11.533428615454817,-14.5940795748959,-30.9840563357231
-11.71720526145592,-14.637147786674966,-31.07549258514145
-11.763361631682207,-14.648007636903637,-31.09854866137811
-14.08568797858124,-15.214099446478631,-32.300393589593675
-14.136438534239065,-15.226852525860812,-32.32746909839871
-14.187291867085893,-15.239645934149955,-32.35463022775411
-14.238248358466615,-15.252479748384784,-32.38187714121744
-14.289308391055773,-15.265354046182534,-32.40921000357448
-14.34047234886877,-15.278268905743023,-32.43662898084787
-14.391740617269988,-15.291224405849361,-32.46413424029861
-14.44311358298309,-15.304220625870968,-32.49172595043247
-14.494591634100795,-15.317257645765974,-32.519404281005066
-14.59786455182291,-15.343454407964401,-32.57502148876415
-14.649660201544771,-15.356614313147467,-32.60296071175333
-11.180296062619359,-14.560385569922886,-30.833663582895003
-11.225487888393484,-14.570831961093528,-30.855785284924398
-11.270761439057265,-14.581315129077383,-30.87798486702646
-11.316117031634853,-14.59183511973968,-30.900262426327256
-11.361554983977225,-14.602391979406795,-30.92261806092941
-11.407075614768553,-14.612985754866903,-30.945051869913456
-11.45267924353447,-14.623616493373005,-30.967563953344264
-11.498366190648898,-14.634284242644052,-30.99015441227343
-11.544136777341526,-14.64498905086692,-31.01282334874343
-11.589991325705219,-14.655730966698211,-31.03557086579147
-11.635930158703323,-14.666510039265926,-31.058397067452987
-11.681953600177042,-14.677326318171156,-31.081302058765274
-14.30222230718169,-15.318227170533396,-32.43849972202967
-14.353426944450877,-15.331180823500665,-32.46593090342554
-14.404735971581784,-15.344175274076248,-32.49344847949301
-14.456149775886312,-15.357210602025566,-32.52105261914658
-14.507668746047774,-15.370286887704667,-32.54874349255148
-14.559293272130077,-15.383404212061967,-32.576521271127355
-14.611023745588465,-15.396562656641606,-32.604386127555394
-14.662860559278164,-15.409762303584559,-32.63233823578065
-14.71480410746509,-15.42300323563186,-32.66037777101891
-11.55487534469879,-14.69600650636448,-31.04167204474321
-11.6007670937568,-14.706778928536849,-31.064426117154472
-11.64674317697057,-14.717588644853485,-31.087258964203937
-11.69280391865599,-14.72843570523014,-31.110170691326257
-11.738949644016648,-14.73932016005924,-31.133161404962944
-11.785180679150354,-14.750242060210475,-31.156231212563615
-11.831497351058013,-14.761201457034282,-31.17938022259335
-11.877899987649457,-14.772198402361507,-31.202608544531955
-11.924388917752951,-14.783232948507603,-31.225916288882868
-11.97096447112115,-14.794305148272365,-31.249303567172568
-12.017626978440093,-14.805415054943438,-31.272770491958006
-12.064376771336116,-14.816562722297167,-31.29631717682838
-12.111214182383819,-14.82774820460075,-31.3199437364097
-12.39409737547561,-14.895658313644999,-31.463387013504157
-12.441557506966557,-14.907110061700783,-31.48757599350581
-13.45961634667249,-15.156530728487933,-32.01441534515109
-13.608493609476648,-15.193573831035007,-32.092659719926516
-13.658316493195192,-15.206001081659236,-32.11890920737252
-13.708238554683872,-15.218468225962605,-32.145242960329966
-13.8083816908971,-15.243522484613933,-32.198163873235245
